Date,AAPL,IBM,MSFT,GOOG
2011-07-20,941340400,5901100,49795400,4472301
2011-07-21,526534400,4958400,81737400,6965009
2011-07-22,516728800,4516100,76380600,7082849
2011-07-25,589806000,4987000,108482400,6286676
2011-07-26,476582400,4356200,74636500,4703364
2011-07-27,659324400,5806800,71488700,7898294
2011-07-28,594034000,4478800,83761400,6240102
2011-07-29,632584400,6665600,104394800,8305816
2011-08-01,612836000,5842700,61838400,7961932
2011-08-02,639539600,5770400,63883100,6425193
2011-08-03,732508000,6722000,64581200,7680079
2011-08-04,871407600,11022300,92949500,9866042
2011-08-05,1204590800,11871800,112071700,11902647
2011-08-08,1143833600,15804900,134257200,15049398
2011-08-09,1082583600,12517600,126268900,12987900
2011-08-10,878656800,13993600,127819900,10779453
2011-08-11,741969200,9175600,90690100,9697413
2011-08-12,528976000,5187000,64787100,6332246
2011-08-15,460544000,7645400,56529400,14343362
2011-08-16,498750000,5585400,54251500,13930821
2011-08-17,442061200,5129700,50923700,8188779
2011-08-18,851435200,15082600,105714200,12628558
2011-08-19,775888400,14068600,77397900,10860556
2011-08-22,535315200,7249100,54721000,9848577
2011-08-23,656835200,6923300,59670600,8726186
2011-08-24,626267600,6427000,45329700,7215946
2011-08-25,871346000,6751600,48192000,6610686
2011-08-26,641477200,6438200,71957000,7219560
2011-08-29,405269200,5293400,38863200,4689110
2011-08-30,417922400,4477700,57341400,6000407
2011-08-31,522586400,6074200,59300800,5406790
2011-09-01,343725200,5463900,60510800,4849108
2011-09-02,438939200,4979100,43894400,4820401
2011-09-06,509698000,5761200,54929300,5451959
2011-09-07,350576800,6796600,41961000,5532259
2011-09-08,416158400,6027200,65811900,4778845
2011-09-09,564813200,6743900,64529200,6562105
2011-09-12,467832400,5247200,55046100,5360819
2011-09-13,440560400,4723800,48792300,4726048
2011-09-14,534724400,6980700,66739200,5408999
2011-09-15,417818800,5464400,67808300,5943796
2011-09-16,698513200,11048100,89681500,7095095
2011-09-19,823860800,4755600,52324900,4955304
2011-09-20,775754000,6209600,49211900,5579033
2011-09-21,605976000,7043100,72750700,5047448
2011-09-22,968480800,8195600,96278300,8833587
2011-09-23,546277200,5586600,64768100,5575420
2011-09-26,812876400,6745700,51057600,5288147
2011-09-27,632497600,7638800,55620700,6044371
2011-09-28,429637600,7732200,60736200,4543567
2011-09-29,651086800,6944300,63407300,5834989
2011-09-30,547640800,7807400,54060500,5467617
